"","date","SUM","hr_cst","dust","site","chl","sal","temp","do_mgl","do_per","pH","secchi","amm","nn","orthop","sil","din","din_dip","tdn","don","doc","toc","tn","Type","copies_mL"
"49",2022-02-12,0.13,"18",0.03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50",2022-02-13,0.04,"00",0.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51",2022-02-13,0.04,"06",0.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52",2022-02-13,0.04,"12",0.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53",2022-02-13,0.04,"18",0.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54",2022-02-14,0.07,"00",0.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55",2022-02-14,0.07,"06",0.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56",2022-02-14,0.07,"12",0.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57",2022-02-14,0.07,"18",0.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58",2022-02-15,0.09,"00",0.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59",2022-02-15,0.09,"06",0.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60",2022-02-15,0.09,"12",0.03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61",2022-02-15,0.09,"18",0.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62",2022-02-16,0.07,"00",0.02,"Blind Oso",27.33,23.88,19.9,7.81,98.7,8.02,0.1,7.6,62.27,12.16,61.28,69.867,5.747059307,104,34.17887029,2032.8,2510.2,143.9,"Monthly",10282.558050018
"63",2022-02-16,0.07,"00",0.02,"Canals",7.59,29.12,16.3,7.92,96.5,8.12,1.2,0.38,0.19,0.12,30.31,0.5715,4.627530364,29.1,28.5676194,1717,2075.3,35,"Monthly",162.744294929532
"64",2022-02-16,0.07,"06",0.02,"Blind Oso",27.33,23.88,19.9,7.81,98.7,8.02,0.1,7.6,62.27,12.16,61.28,69.867,5.747059307,104,34.17887029,2032.8,2510.2,143.9,"Monthly",10282.558050018
"65",2022-02-16,0.07,"06",0.02,"Canals",7.59,29.12,16.3,7.92,96.5,8.12,1.2,0.38,0.19,0.12,30.31,0.5715,4.627530364,29.1,28.5676194,1717,2075.3,35,"Monthly",162.744294929532
"66",2022-02-16,0.07,"12",0.01,"Blind Oso",27.33,23.88,19.9,7.81,98.7,8.02,0.1,7.6,62.27,12.16,61.28,69.867,5.747059307,104,34.17887029,2032.8,2510.2,143.9,"Monthly",10282.558050018
"67",2022-02-16,0.07,"12",0.01,"Canals",7.59,29.12,16.3,7.92,96.5,8.12,1.2,0.38,0.19,0.12,30.31,0.5715,4.627530364,29.1,28.5676194,1717,2075.3,35,"Monthly",162.744294929532
"68",2022-02-16,0.07,"18",0.02,"Blind Oso",27.33,23.88,19.9,7.81,98.7,8.02,0.1,7.6,62.27,12.16,61.28,69.867,5.747059307,104,34.17887029,2032.8,2510.2,143.9,"Monthly",10282.558050018
"69",2022-02-16,0.07,"18",0.02,"Canals",7.59,29.12,16.3,7.92,96.5,8.12,1.2,0.38,0.19,0.12,30.31,0.5715,4.627530364,29.1,28.5676194,1717,2075.3,35,"Monthly",162.744294929532
"70",2022-02-17,0.03,"00",0.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"71",2022-02-17,0.03,"06",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"72",2022-02-17,0.03,"12",0.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"73",2022-02-17,0.03,"18",0.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"74",2022-02-18,0.07,"00",0.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"75",2022-02-18,0.07,"06",0.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"76",2022-02-18,0.07,"12",0.03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"77",2022-02-18,0.07,"18",0.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"78",2022-02-19,0.07,"00",0.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"79",2022-02-19,0.07,"06",0.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"80",2022-02-19,0.07,"12",0.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"81",2022-02-19,0.07,"18",0.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"82",2022-02-20,0.04,"00",0.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"83",2022-02-20,0.04,"06",0.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"84",2022-02-20,0.04,"12",0.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"85",2022-02-20,0.04,"18",0.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"86",2022-02-21,0.05,"00",0.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
