Well,Fluor,Target,Content,Sample,Cq,SQ
K19,Cy5,,Unkn,RD_19,33.84457036,4.58E+154
K20,Cy5,,Unkn,RD_19,16.14859909,1.58E-101
K18,HEX,,Unkn,RD_19,NaN,NaN
K19,HEX,,Unkn,RD_19,NaN,NaN
K20,HEX,,Unkn,RD_19,NaN,NaN
A15,Cy5,,Unkn,RD_7,23.28821799,184.8183041
A16,Cy5,,Unkn,RD_7,22.08231024,7.21E-16
A17,Cy5,,Unkn,RD_7,23.32715467,674.2869739
A15,HEX,,Unkn,RD_7,36.91420881,0.234598362
A16,HEX,,Unkn,RD_7,NaN,NaN
A17,HEX,,Unkn,RD_7,NaN,NaN
C15,Cy5,,Unkn,RD_8,23.2047256,11.51934077
C16,Cy5,,Unkn,RD_8,23.26169572,76.53546027
C17,Cy5,,Unkn,RD_8,23.12516485,0.818216784
C15,HEX,,Unkn,RD_8,NaN,NaN
C16,HEX,,Unkn,RD_8,NaN,NaN
C17,HEX,,Unkn,RD_8,36.74390869,0.265757306
E15,Cy5,,Unkn,RD_9,23.51534384,351229.9699
E16,Cy5,,Unkn,RD_9,23.25065442,53.02342543
E17,Cy5,,Unkn,RD_9,23.23308343,29.56708205
E15,HEX,,Unkn,RD_9,36.64213131,0.286321056
E16,HEX,,Unkn,RD_9,NaN,NaN
E17,HEX,,Unkn,RD_9,36.95806171,0.227184405
A22,Cy5,,Std,,25.13693115,3700000
A23,Cy5,,Std,,24.41935579,3700000
A24,Cy5,,Std,,22.08465836,3700000
C22,Cy5,,Std,,26.04477793,370000
C23,Cy5,,Std,,23.16412378,370000
C24,Cy5,,Std,,22.47475107,370000
E22,Cy5,,Std,,22.9962204,37000
E23,Cy5,,Std,,22.83482451,37000
E24,Cy5,,Std,,23.24473228,37000
G22,Cy5,,Std,,21.90320548,3700
G23,Cy5,,Std,,23.38527832,3700
G24,Cy5,,Std,,22.88131858,3700
I22,Cy5,,Std,,23.08265732,370
I23,Cy5,,Std,,23.11973326,370
I24,Cy5,,Std,,22.28850777,370
K22,Cy5,,Std,,24.14454267,37
K23,Cy5,,Std,,22.89049527,37
K24,Cy5,,Std,,25.56270494,37
M22,Cy5,,Std,,23.14836256,3.7
M23,Cy5,,Std,,23.19075752,3.7
M24,Cy5,,Std,,22.94783015,3.7
P22,Cy5,,NTC,,22.90373988,NaN
P23,Cy5,,NTC,,23.20130764,NaN
P24,Cy5,,NTC,,23.28582102,NaN
A22,HEX,,Std,,14.43766715,3700000
A23,HEX,,Std,,14.45546909,3700000
A24,HEX,,Std,,14.4988573,3700000
C22,HEX,,Std,,17.63963487,370000
C23,HEX,,Std,,17.46882549,370000
C24,HEX,,Std,,17.35746039,370000
E22,HEX,,Std,,20.50689433,37000
E23,HEX,,Std,,20.43105947,37000
E24,HEX,,Std,,20.33278536,37000
G22,HEX,,Std,,23.65743707,3700
G23,HEX,,Std,,23.67198784,3700
G24,HEX,,Std,,23.61392056,3700
I22,HEX,,Std,,26.47931623,370
I23,HEX,,Std,,26.44397366,370
I24,HEX,,Std,,26.87217118,370
K22,HEX,,Std,,29.91446003,37
K23,HEX,,Std,,29.78327148,37
K24,HEX,,Std,,NaN,37
,,,,,,
,,,,,,
,,,,,,
M22,HEX,,Std,,33.526445,3.7
M23,HEX,,Std,,33.84617833,3.7
M24,HEX,,Std,,33.06359636,3.7
P22,HEX,,NTC,,NaN,NaN
P23,HEX,,NTC,,NaN,NaN
P24,HEX,,NTC,,NaN,NaN
