yyymmddtt,ABF,dust,ust,smoke,SS Total AOT,hr,date,type
2022031818,0.05,0.03,0.02,0.01,0.11,18,2022-03-18,
2022031900,0.04,0.02,0.03,0.01,0.1,0,2022-03-19,
2022031906,0.05,0.02,0.03,0.01,0.11,6,2022-03-19,
2022031912,0.05,0.02,0.03,0.01,0.11,12,2022-03-19,
2022031918,0.08,0.05,0.04,0.01,0.18,18,2022-03-19,
2022032000,0.06,0.04,0.03,0.01,0.14,0,2022-03-20,
2022032006,0.05,0.03,0.03,0.01,0.11,6,2022-03-20,
2022032012,0.05,0.03,0.03,0.01,0.12,12,2022-03-20,
2022032018,0.08,0.03,0.06,0.02,0.18,18,2022-03-20,
2022032100,0.08,0.01,0.07,0.04,0.2,0,2022-03-21,
2022032106,0.13,0.01,0.07,0.09,0.3,6,2022-03-21,
2022032112,0.11,0.01,0.07,0.08,0.28,12,2022-03-21,
2022032118,0.1,0.02,0.06,0.07,0.25,18,2022-03-21,
2022032200,0.08,0.02,0.07,0.05,0.2,0,2022-03-22,
2022032206,0.16,0.02,0.15,0.09,0.42,6,2022-03-22,
2022032212,0.07,0.02,0.06,0.04,0.19,12,2022-03-22,
2022032218,0.04,0.03,0.01,0.01,0.09,18,2022-03-22,
2022032300,0.03,0.03,0.01,0,0.08,0,2022-03-23,
2022032306,0.03,0.01,0.01,0.01,0.06,6,2022-03-23,
2022032312,0.04,0.02,0.01,0.01,0.07,12,2022-03-23,
2022032318,0.05,0.03,0.01,0.01,0.1,18,2022-03-23,
2022032400,0.04,0.02,0.01,0.01,0.08,0,2022-03-24,
2022032406,0.03,0.02,0.01,0.01,0.06,6,2022-03-24,
2022032412,0.03,0.02,0.01,0.01,0.07,12,2022-03-24,
2022032418,0.04,0.02,0.01,0.01,0.08,18,2022-03-24,
2022032500,0.04,0.02,0.01,0.01,0.08,0,2022-03-25,
2022032506,0.04,0.02,0.01,0.01,0.07,6,2022-03-25,
2022032512,0.03,0.01,0.01,0.01,0.06,12,2022-03-25,
2022032518,0.05,0.02,0.02,0.01,0.1,18,2022-03-25,
2022032600,0.05,0.02,0.02,0.01,0.09,0,2022-03-26,
2022032606,0.05,0.03,0.02,0.01,0.11,6,2022-03-26,
2022032612,0.05,0.03,0.02,0.01,0.11,12,2022-03-26,
2022032618,0.05,0.03,0.02,0.01,0.11,18,2022-03-26,
2022032700,0.04,0.03,0.02,0.01,0.09,0,2022-03-27,
2022032706,0.04,0.02,0.01,0.01,0.08,6,2022-03-27,
2022032712,0.04,0.02,0.01,0.01,0.09,12,2022-03-27,
2022032718,0.05,0.03,0.02,0.01,0.12,18,2022-03-27,
2022032800,0.05,0.04,0.02,0.01,0.11,0,2022-03-28,
2022032806,0.04,0.04,0.02,0.01,0.11,6,2022-03-28,
2022032812,0.04,0.04,0.02,0.02,0.12,12,2022-03-28,
2022032818,0.04,0.04,0.03,0.02,0.13,18,2022-03-28,
2022032900,0.04,0.03,0.03,0.02,0.13,0,2022-03-29,
2022032906,0.07,0.03,0.05,0.04,0.19,6,2022-03-29,
2022032912,0.11,0.02,0.09,0.06,0.27,12,2022-03-29,
2022032918,0.09,0.02,0.09,0.04,0.24,18,2022-03-29,
2022033000,0.08,0.01,0.08,0.04,0.21,0,2022-03-30,
2022033006,0.09,0.01,0.07,0.07,0.24,6,2022-03-30,
2022033012,0.1,0.01,0.06,0.09,0.26,12,2022-03-30,
2022033018,0.05,0.02,0.04,0.02,0.12,18,2022-03-30,
2022033100,0.02,0.02,0.01,0.01,0.07,0,2022-03-31,
2022033106,0.02,0.02,0.01,0.01,0.07,6,2022-03-31,
2022033112,0.04,0.02,0.02,0.01,0.09,12,2022-03-31,
2022033118,0.06,0.03,0.04,0.02,0.14,18,2022-03-31,
2022040100,0.04,0.02,0.03,0.01,0.1,0,2022-04-01,
2022040106,0.06,0.02,0.04,0.02,0.13,6,2022-04-01,
2022040112,0.07,0.02,0.05,0.02,0.15,12,2022-04-01,
2022040118,0.09,0.02,0.07,0.03,0.22,18,2022-04-01,
2022040200,0.08,0.01,0.07,0.04,0.2,0,2022-04-02,
2022040206,0.1,0.01,0.06,0.06,0.23,6,2022-04-02,
2022040212,0.1,0.01,0.05,0.06,0.22,12,2022-04-02,
2022040218,0.13,0.02,0.07,0.06,0.28,18,2022-04-02,
2022040300,0.07,0.01,0.05,0.03,0.17,0,2022-04-03,
2022040306,0.1,0.02,0.04,0.04,0.19,6,2022-04-03,
2022040312,0.1,0.02,0.04,0.03,0.19,12,2022-04-03,
2022040318,0.09,0.02,0.05,0.03,0.17,18,2022-04-03,
2022040400,0.1,0.01,0.06,0.04,0.21,0,2022-04-04,
2022040406,0.14,0.01,0.09,0.05,0.3,6,2022-04-04,
2022040412,0.16,0.01,0.12,0.04,0.34,12,2022-04-04,
2022040418,0.14,0.01,0.11,0.03,0.29,18,2022-04-04,
2022040500,0.12,0.01,0.11,0.02,0.26,0,2022-04-05,
2022040506,0.18,0.01,0.15,0.04,0.38,6,2022-04-05,
2022040512,0.12,0.01,0.14,0.03,0.3,12,2022-04-05,
2022040518,0.12,0.01,0.15,0.02,0.3,18,2022-04-05,
2022040600,0.07,0.01,0.1,0.01,0.2,0,2022-04-06,
2022040606,0.08,0.01,0.09,0.01,0.2,6,2022-04-06,
2022040612,0.08,0.01,0.07,0.01,0.18,12,2022-04-06,
2022040618,0.11,0.01,0.11,0.01,0.24,18,2022-04-06,
