yyymmddtt,ABF,dust,ust,smoke,SS Total AOT,hr,date,type
2022081818,0.09,0.05,0.02,0.02,0.17,18,2022-08-18,
2022081900,0.07,0.06,0.02,0.02,0.16,0,2022-08-19,
2022081906,0.08,0.05,0.01,0.02,0.17,6,2022-08-19,
2022081912,0.09,0.05,0.01,0.02,0.18,12,2022-08-19,
2022081918,0.04,0.03,0.01,0.01,0.09,18,2022-08-19,
2022082000,0.04,0.04,0.01,0.01,0.09,0,2022-08-20,
2022082006,0.06,0.04,0.01,0.02,0.12,6,2022-08-20,
2022082012,0.06,0.03,0.01,0.02,0.12,12,2022-08-20,
2022082018,0.06,0.03,0.01,0.03,0.13,18,2022-08-20,
2022082100,0.09,0.03,0.01,0.04,0.16,0,2022-08-21,
2022082106,0.12,0.03,0.01,0.05,0.21,6,2022-08-21,
2022082112,0.1,0.03,0.01,0.03,0.17,12,2022-08-21,
2022082118,0.11,0.02,0.01,0.03,0.17,18,2022-08-21,
2022082200,0.08,0.02,0.01,0.02,0.14,0,2022-08-22,
2022082206,0.08,0.02,0.01,0.02,0.14,6,2022-08-22,
2022082212,0.09,0.03,0.01,0.03,0.15,12,2022-08-22,
2022082218,0.12,0.05,0.01,0.03,0.21,18,2022-08-22,
2022082300,0.07,0.04,0.01,0.02,0.12,0,2022-08-23,
2022082306,0.06,0.03,0.01,0.01,0.11,6,2022-08-23,
2022082312,0.08,0.03,0.01,0.02,0.14,12,2022-08-23,
2022082318,0.09,0.03,0.01,0.02,0.14,18,2022-08-23,
2022082400,0.09,0.03,0.01,0.01,0.14,0,2022-08-24,
2022082406,0.08,0.03,0.01,0.01,0.13,6,2022-08-24,
2022082412,0.08,0.04,0.01,0.01,0.14,12,2022-08-24,
2022082418,0.07,0.04,0.01,0.01,0.13,18,2022-08-24,
2022082500,0.08,0.04,0.01,0.01,0.14,0,2022-08-25,
2022082506,0.1,0.04,0.01,0.01,0.16,6,2022-08-25,
2022082512,0.13,0.04,0.01,0.02,0.21,12,2022-08-25,
2022082518,0.13,0.03,0.01,0.01,0.18,18,2022-08-25,
2022082600,0.11,0.03,0.01,0.01,0.16,0,2022-08-26,
2022082606,0.11,0.03,0.01,0.01,0.16,6,2022-08-26,
2022082612,0.12,0.03,0.01,0.02,0.17,12,2022-08-26,
2022082618,0.14,0.02,0.01,0.02,0.19,18,2022-08-26,
2022082700,0.08,0.02,0.01,0.01,0.13,0,2022-08-27,
2022082706,0.09,0.02,0.01,0.01,0.13,6,2022-08-27,
2022082712,0.07,0.02,0.01,0.01,0.11,12,2022-08-27,
2022082718,0.05,0.02,0.01,0.01,0.08,18,2022-08-27,
2022082800,0.04,0.02,0,0.01,0.06,0,2022-08-28,
2022082806,0.04,0.01,0,0.01,0.07,6,2022-08-28,
2022082812,0.04,0.01,0,0.01,0.07,12,2022-08-28,
2022082818,0.01,0,0,0,0.02,18,2022-08-28,
