Well,Fluor,Target,Content,Sample,Cq,SQ,filter_amt
A15,HEX,,Unkn,RD_7,35.65271622,1.193279793,100
A16,HEX,,Unkn,RD_7,0,0,100
A17,HEX,,Unkn,RD_7,36.60404338,0.605064673,100
A18,HEX,,Unkn,RD_14,38.5295814,0.153047477,100
A19,HEX,,Unkn,RD_14,41.5987791,0.017111225,100
A20,HEX,,Unkn,RD_14,38.14507006,0.201389321,100
A22,HEX,,Std,,14.84401428,3700000,
A23,HEX,,Std,,15.01457445,3700000,
A24,HEX,,Std,,14.52309825,3700000,
C01,HEX,,Unkn,BO_8,0,0,100
C02,HEX,,Unkn,BO_8,0,0,100
C03,HEX,,Unkn,BO_8,0,0,100
C04,HEX,,Unkn,BO_15,0,0,50
C05,HEX,,Unkn,BO_15,0,0,50
C06,HEX,,Unkn,BO_15,0,0,50
C08,HEX,,Unkn,C2_8,0,0,100
C09,HEX,,Unkn,C2_8,0,0,100
C10,HEX,,Unkn,C2_8,43.00854116,0.006254776,100
C11,HEX,,Unkn,C2_15,42.91924591,0.006666472,100
C12,HEX,,Unkn,C2_15,0,0,100
C13,HEX,,Unkn,C2_15,0,0,100
C15,HEX,,Unkn,RD_8,36.10025388,0.866945779,100
C16,HEX,,Unkn,RD_8,34.78705614,2.213723433,100
C17,HEX,,Unkn,RD_8,34.41686814,2.883320723,100
C18,HEX,,Unkn,RD_15,34.80115312,2.191557488,100
C19,HEX,,Unkn,RD_15,36.19398574,0.810834455,100
C20,HEX,,Unkn,RD_15,35.45592353,1.37326399,100
C22,HEX,,Std,,17.93120447,370000,
C23,HEX,,Std,,17.95361183,370000,
C24,HEX,,Std,,17.85971636,370000,
E01,HEX,,Unkn,BO_9,0,0,100
E02,HEX,,Unkn,BO_9,0,0,100
E03,HEX,,Unkn,BO_9,0,0,100
E04,HEX,,Unkn,BO_16,0,0,30
E05,HEX,,Unkn,BO_16,0,0,30
E06,HEX,,Unkn,BO_16,0,0,30
E08,HEX,,Unkn,C2_9,0,0,100
E09,HEX,,Unkn,C2_9,0,0,100
E10,HEX,,Unkn,C2_9,0,0,100
E11,HEX,,Unkn,C2_16,38.65203904,0.140236338,100
E12,HEX,,Unkn,C2_16,37.89994166,0.239901925,100
E13,HEX,,Unkn,C2_16,42.65490016,0.008051027,100
E15,HEX,,Unkn,RD_9,34.13507162,3.525806606,100
E16,HEX,,Unkn,RD_9,35.42224359,1.406681725,100
E17,HEX,,Unkn,RD_9,34.01701814,3.835824004,100
E18,HEX,,Unkn,RD_16,0,0,100
E19,HEX,,Unkn,RD_16,33.79798091,4.485046037,100
E20,HEX,,Unkn,RD_16,36.29220654,0.755928545,100
E22,HEX,,Std,,21.10703016,37000,
E23,HEX,,Std,,21.27394253,37000,
E24,HEX,,Std,,21.11728299,37000,
G01,HEX,,Unkn,BO_11,0,0,100
G02,HEX,,Unkn,BO_11,0,0,100
